city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Jakarta,-6.2146,106.8451,Indonesia,ID,Jakarta,primary,34540000,10154134
Surabaya,-7.2458,112.7378,Indonesia,ID,Jawa Timur,admin,4975000,4975000
Bandung,-6.9500,107.5667,Indonesia,ID,Jawa Barat,admin,2394873,2394873
Bekasi,-6.2333,107.0000,Indonesia,ID,Jawa Barat,,2381053,2381053
Tangerang,-6.1783,106.6319,Indonesia,ID,Jawa Barat,,2237006,2237006
Medan,3.6667,98.6667,Indonesia,ID,Sumatera Utara,admin,2210625,2210625
Makassar,-5.1331,119.4136,Indonesia,ID,Sulawesi Selatan,admin,1651146,1651146
Semarang,-6.9667,110.4167,Indonesia,ID,Jawa Tengah,admin,1621384,1621384
Palembang,-2.9833,104.7644,Indonesia,ID,Sumatera Selatan,admin,1452456,1452456
Cilacap,-7.7167,109.0170,Indonesia,ID,Jawa Tengah,minor,1174964,1174964
Bandar Lampung,-5.4294,105.2625,Indonesia,ID,Lampung,admin,1166761,1166761
Padang,-0.9556,100.3606,Indonesia,ID,Sumatera Barat,admin,914970,914970
Pekanbaru,0.5333,101.4500,Indonesia,ID,Riau,admin,855221,855221
Denpasar,-8.6667,115.2167,Indonesia,ID,Bali,admin,834881,834881
Samarinda,-0.5022,117.1536,Indonesia,ID,Kalimantan Timur,admin,753370,753370
Banjarmasin,-3.3333,114.5833,Indonesia,ID,Kalimantan Selatan,admin,692793,692793
Pontianak,-0.0206,109.3414,Indonesia,ID,Kalimantan Barat,admin,618388,618388
Serang,-6.1200,106.1503,Indonesia,ID,Banten,admin,613356,613356
Jambi,-1.5900,103.6100,Indonesia,ID,Jambi,admin,602187,602187
Manado,1.4931,124.8413,Indonesia,ID,Sulawesi Utara,admin,461636,461636
Kupang,-10.1633,123.5778,Indonesia,ID,Nusa Tenggara Timur,admin,433970,433970
Yogyakarta,-7.8014,110.3644,Indonesia,ID,Yogyakarta,admin,422732,422732
Jayapura,-2.5333,140.7167,Indonesia,ID,Papua,admin,413283,413283
Mataram,-8.5833,116.1167,Indonesia,ID,Nusa Tenggara Barat,admin,408900,408900
Ambon,-3.7050,128.1700,Indonesia,ID,Maluku,admin,372249,372249
Bengkulu,-3.7956,102.2592,Indonesia,ID,Bengkulu,admin,360495,360495
Palu,-0.8950,119.8594,Indonesia,ID,Sulawesi Tengah,admin,359350,359350
Kendari,-3.9675,122.5947,Indonesia,ID,Sulawesi Tenggara,admin,331013,331013
Jember,-8.1727,113.6873,Indonesia,ID,Jawa Timur,minor,298585,298585
Majene,-3.5336,118.9660,Indonesia,ID,Sulawesi Barat,minor,272377,37715
Palangkaraya,-2.2100,113.9200,Indonesia,ID,Kalimantan Tengah,admin,249434,249434
Banda Aceh,5.5500,95.3175,Indonesia,ID,Aceh,admin,235305,235305
Singaraja,-8.1152,115.0944,Indonesia,ID,Bali,minor,234468,133784
Tanjungpinang,0.9188,104.4554,Indonesia,ID,Kepulauan Riau,admin,203008,203008
